Date,Team,home_basic_MP,home_basic_FG,home_basic_FGA,home_basic_FG%,home_basic_3P,home_basic_3PA,home_basic_3P%,home_basic_FT,home_basic_FTA,home_basic_FT%,home_basic_ORB,home_basic_DRB,home_basic_TRB,home_basic_AST,home_basic_STL,home_basic_BLK,home_basic_TOV,home_basic_PF,home_basic_PTS,home_advanced_MP,home_advanced_TS%,home_advanced_eFG%,home_advanced_3PAr,home_advanced_FTr,home_advanced_ORB%,home_advanced_DRB%,home_advanced_TRB%,home_advanced_AST%,home_advanced_STL%,home_advanced_BLK%,home_advanced_TOV%,home_advanced_USG%,home_advanced_ORtg,home_advanced_DRtg
2024-11-17,New York Knicks,240,43,88,0.489,13,40,0.325,15,19,0.789,10,37,47,33,4,5,8,23,114,240,0.592,0.563,0.455,0.216,26.3,84.1,57.3,76.7,4.4,14.3,7.7,100.0,126.4,115.3
2024-11-17,Oklahoma City Thunder,240,43,87,0.494,14,42,0.333,19,25,0.76,7,22,29,29,11,5,8,25,119,240,0.607,0.575,0.483,0.287,16.7,55.0,35.4,67.4,11.6,8.8,7.5,100.0,125.0,127.1
2024-11-17,Los Angeles Clippers,240,46,94,0.489,11,40,0.275,13,17,0.765,14,27,41,30,11,5,9,11,116,240,0.572,0.548,0.426,0.181,30.4,75.0,50.0,65.2,11.7,12.8,8.1,100.0,123.0,111.3
2024-11-18,Detroit Pistons,240,42,98,0.429,15,44,0.341,13,19,0.684,16,32,48,27,3,3,9,19,112,240,0.527,0.505,0.449,0.194,30.8,76.2,51.1,64.3,3.1,6.7,7.8,100.0,116.8,127.2
2024-11-18,Miami Heat,240,36,87,0.414,13,44,0.295,21,23,0.913,9,44,53,26,10,2,15,13,106,240,0.546,0.489,0.506,0.264,18.4,95.7,55.8,72.2,9.9,4.7,13.4,100.0,104.6,87.8
2024-11-18,New York Knicks,240,51,91,0.56,20,40,0.5,12,13,0.923,7,34,41,37,4,1,8,12,134,240,0.693,0.67,0.44,0.143,19.4,73.9,50.0,72.5,4.2,1.7,7.6,100.0,141.1,111.6
2024-11-18,Toronto Raptors,240,48,82,0.585,14,29,0.483,20,28,0.714,10,36,46,27,5,9,23,26,130,240,0.689,0.671,0.354,0.341,33.3,75.0,59.0,56.3,4.8,15.3,19.6,100.0,125.4,114.8
2024-11-18,Milwaukee Bucks,240,38,83,0.458,13,33,0.394,12,19,0.632,4,39,43,21,8,8,16,18,101,240,0.553,0.536,0.398,0.229,9.8,70.9,44.8,55.3,7.9,11.8,14.9,100.0,100.3,99.3
2024-11-18,Phoenix Suns,240,35,83,0.422,12,41,0.293,17,25,0.68,16,29,45,25,5,2,13,21,99,240,0.527,0.494,0.494,0.301,34.8,78.4,54.2,71.4,5.7,4.3,12.1,100.0,112.1,123.5
2024-11-18,Sacramento Kings,240,37,85,0.435,20,46,0.435,14,19,0.737,9,36,45,24,9,4,17,20,108,240,0.578,0.553,0.541,0.224,22.5,85.7,54.9,64.9,9.2,8.9,15.4,100.0,110.5,111.5
2024-11-18,Los Angeles Clippers,240,35,82,0.427,16,34,0.471,16,18,0.889,5,39,44,29,10,6,20,13,102,240,0.567,0.524,0.415,0.22,12.2,81.3,49.4,82.9,9.8,15.0,18.2,100.0,99.9,96.9
2024-11-19,Boston Celtics,240,44,86,0.512,22,41,0.537,10,14,0.714,9,33,42,32,4,4,13,19,120,240,0.651,0.64,0.477,0.163,23.7,73.3,50.6,72.7,4.3,6.3,12.4,100.0,128.1,124.9
2024-11-19,Brooklyn Nets,240,42,85,0.494,18,41,0.439,14,19,0.737,10,26,36,31,8,8,15,19,116,240,0.621,0.6,0.482,0.224,24.4,66.7,45.0,73.8,8.2,17.8,13.8,100.0,119.3,118.3
2024-11-19,Memphis Grizzlies,240,41,103,0.398,9,38,0.237,19,31,0.613,19,36,55,24,9,10,22,24,110,240,0.472,0.442,0.369,0.301,32.2,73.5,50.9,58.5,7.9,15.6,15.9,100.0,96.0,106.5
2024-11-19,Dallas Mavericks,240,49,94,0.521,14,31,0.452,20,25,0.8,14,34,48,26,12,7,12,15,132,240,0.629,0.596,0.33,0.266,31.8,82.9,56.5,53.1,12.0,15.2,10.3,100.0,132.3,91.2
2024-11-19,San Antonio Spurs,240,39,83,0.47,19,46,0.413,13,19,0.684,8,38,46,32,5,5,21,13,110,240,0.602,0.584,0.554,0.229,19.0,74.5,49.5,82.1,4.9,10.6,18.7,100.0,108.2,102.3
2024-11-19,Los Angeles Lakers,240,42,76,0.553,14,31,0.452,26,36,0.722,6,28,34,30,9,5,14,16,124,240,0.675,0.645,0.408,0.474,16.2,71.8,44.7,71.4,9.1,9.3,13.2,100.0,124.9,118.9
2024-11-20,Cleveland Cavaliers,240,49,93,0.527,18,42,0.429,12,14,0.857,16,36,52,29,10,9,14,16,128,240,0.645,0.624,0.452,0.151,40.0,69.2,56.5,59.2,10.6,14.8,12.4,100.0,136.1,106.3
2024-11-20,Milwaukee Bucks,240,44,80,0.55,13,36,0.361,21,31,0.677,10,35,45,30,7,2,12,13,122,240,0.651,0.631,0.45,0.388,26.3,87.5,57.7,68.2,7.3,4.7,11.4,100.0,126.6,110.0
2024-11-20,Houston Rockets,240,47,102,0.461,12,36,0.333,24,33,0.727,13,34,47,25,16,2,14,21,130,240,0.558,0.52,0.353,0.324,28.3,91.9,56.6,53.2,14.2,3.3,10.7,100.0,115.5,100.4
2024-11-20,Memphis Grizzlies,240,41,85,0.482,19,43,0.442,16,16,1.0,9,32,41,29,5,6,20,17,117,240,0.636,0.594,0.506,0.188,25.0,69.6,50.0,70.7,5.1,11.1,17.9,100.0,120.2,114.1
2024-11-20,Oklahoma City Thunder,240,40,91,0.44,9,31,0.29,20,23,0.87,15,31,46,24,14,8,14,20,109,240,0.539,0.489,0.341,0.253,31.3,66.0,48.4,60.0,14.4,19.5,12.2,100.0,112.2,101.9
2024-11-20,Golden State Warriors,240,47,101,0.465,14,40,0.35,12,18,0.667,9,45,54,36,10,7,15,17,120,240,0.551,0.535,0.396,0.178,17.0,68.2,45.4,76.6,9.0,11.7,12.1,100.0,108.5,87.7
2024-11-20,Phoenix Suns,240,45,92,0.489,19,50,0.38,13,17,0.765,11,23,34,30,9,2,14,16,122,240,0.613,0.592,0.543,0.185,26.2,69.7,45.3,66.7,9.1,4.3,12.3,100.0,123.6,139.8
2024-11-20,Los Angeles Clippers,240,38,77,0.494,11,22,0.5,17,21,0.81,15,34,49,22,10,1,25,22,104,240,0.603,0.565,0.286,0.273,40.5,94.4,67.1,57.9,10.5,2.5,22.5,100.0,109.7,98.1
2024-11-21,Charlotte Hornets,265,44,93,0.473,20,44,0.455,15,21,0.714,11,32,43,23,12,5,16,22,123,265,0.602,0.581,0.473,0.226,23.9,60.4,43.4,52.3,11.5,9.8,13.5,100.0,117.9,116.0
2024-11-21,Toronto Raptors,240,37,72,0.514,7,23,0.304,29,39,0.744,10,33,43,22,11,1,17,24,110,240,0.617,0.563,0.319,0.542,25.0,76.7,51.8,59.5,11.4,2.2,16.0,100.0,113.6,108.4
2024-11-21,San Antonio Spurs,240,41,88,0.466,9,32,0.281,35,46,0.761,11,40,51,32,8,9,11,20,126,240,0.582,0.517,0.364,0.523,22.9,76.9,51.0,78.0,7.5,17.0,9.2,100.0,117.6,110.2
2024-11-21,Los Angeles Lakers,240,44,87,0.506,13,31,0.419,17,26,0.654,9,27,36,21,4,6,10,15,118,240,0.599,0.58,0.356,0.299,21.4,64.3,42.9,47.7,4.1,11.8,9.2,100.0,120.7,121.7
2024-11-22,Philadelphia 76ers,240,41,92,0.446,16,43,0.372,15,20,0.75,15,25,40,25,13,9,12,16,113,240,0.561,0.533,0.467,0.217,35.7,78.1,54.1,61.0,14.1,21.4,10.6,100.0,122.9,106.6
2024-11-22,Washington Wizards,240,39,90,0.433,7,28,0.25,11,16,0.688,10,38,48,19,6,4,20,29,96,240,0.495,0.472,0.311,0.178,23.3,79.2,52.7,48.7,5.9,10.3,17.1,100.0,94.8,106.6
2024-11-22,New Orleans Pelicans,240,41,92,0.446,12,39,0.308,14,22,0.636,13,30,43,28,10,9,10,25,108,240,0.531,0.511,0.424,0.239,25.5,68.2,45.3,68.3,10.2,18.0,9.0,100.0,110.1,114.2
2024-11-22,Chicago Bulls,240,49,86,0.57,19,43,0.442,19,21,0.905,5,36,41,36,8,10,19,17,136,240,0.714,0.68,0.5,0.244,15.2,72.0,49.4,73.5,7.4,13.7,16.6,100.0,126.1,113.2
2024-11-22,Houston Rockets,240,42,93,0.452,15,39,0.385,17,25,0.68,13,38,51,27,14,5,17,20,116,240,0.558,0.532,0.419,0.269,28.9,74.5,53.1,64.3,13.4,10.4,14.0,100.0,111.3,84.5
2024-11-22,Milwaukee Bucks,240,48,90,0.533,17,36,0.472,16,20,0.8,10,34,44,33,10,4,18,19,129,240,0.653,0.628,0.4,0.222,23.8,70.8,48.9,68.8,9.6,7.0,15.4,100.0,124.0,112.4
