Date,Team,away_basic_MP,away_basic_FG,away_basic_FGA,away_basic_FG%,away_basic_3P,away_basic_3PA,away_basic_3P%,away_basic_FT,away_basic_FTA,away_basic_FT%,away_basic_ORB,away_basic_DRB,away_basic_TRB,away_basic_AST,away_basic_STL,away_basic_BLK,away_basic_TOV,away_basic_PF,away_basic_PTS,away_advanced_MP,away_advanced_TS%,away_advanced_eFG%,away_advanced_3PAr,away_advanced_FTr,away_advanced_ORB%,away_advanced_DRB%,away_advanced_TRB%,away_advanced_AST%,away_advanced_STL%,away_advanced_BLK%,away_advanced_TOV%,away_advanced_USG%,away_advanced_ORtg,away_advanced_DRtg
2025-03-07,Phoenix Suns,265,51,91,0.56,16,38,0.421,23,29,0.793,7,32,39,36,6,2,13,18,141,265,0.679,0.648,0.418,0.319,18.9,80.0,50.6,70.6,5.7,3.5,11.1,100.0,132.9,140.5
2025-03-07,San Antonio Spurs,240,40,87,0.46,16,42,0.381,13,23,0.565,9,27,36,27,7,4,8,17,109,240,0.561,0.552,0.483,0.264,20.5,62.8,41.4,67.5,7.5,6.9,7.6,100.0,116.7,136.0
2025-03-07,New York Knicks,240,35,91,0.385,9,34,0.265,16,18,0.889,14,39,53,25,6,4,15,15,95,240,0.48,0.434,0.374,0.198,26.9,81.3,53.0,71.4,6.2,8.0,13.2,100.0,97.7,108.0
2025-03-08,Brooklyn Nets,240,38,82,0.463,14,50,0.28,12,15,0.8,8,29,37,20,6,10,13,19,102,240,0.576,0.549,0.61,0.183,22.2,56.9,42.5,52.6,6.7,15.6,12.8,100.0,114.5,117.9
2025-03-08,New Orleans Pelicans,240,48,99,0.485,12,34,0.353,9,16,0.563,18,26,44,29,7,3,14,17,117,240,0.552,0.545,0.343,0.162,35.3,63.4,47.8,60.4,7.0,5.1,11.7,100.0,116.2,145.0
2025-03-08,Indiana Pacers,240,41,94,0.436,10,33,0.303,26,30,0.867,15,26,41,29,12,6,16,21,118,240,0.55,0.489,0.351,0.319,31.9,61.9,46.1,70.7,11.7,9.5,13.0,100.0,115.1,117.0
2025-03-08,Washington Wizards,240,44,100,0.44,13,38,0.342,17,23,0.739,22,28,50,29,12,7,16,18,118,240,0.536,0.505,0.38,0.23,44.9,56.0,50.5,65.9,12.3,10.1,12.7,100.0,121.4,120.4
2025-03-08,Chicago Bulls,240,40,88,0.455,11,42,0.262,23,26,0.885,5,46,51,27,6,4,10,14,114,240,0.573,0.517,0.477,0.295,11.9,86.8,53.7,67.5,5.8,7.4,9.1,100.0,109.6,104.8
2025-03-08,Orlando Magic,240,42,82,0.512,12,32,0.375,15,19,0.789,5,29,34,19,5,5,10,24,111,240,0.614,0.585,0.39,0.232,12.8,87.9,47.2,45.2,5.4,9.6,10.0,100.0,118.8,116.6
2025-03-08,Los Angeles Lakers,240,39,87,0.448,14,40,0.35,9,14,0.643,9,36,45,18,6,1,14,17,101,240,0.542,0.529,0.46,0.161,22.0,76.6,51.1,46.2,6.4,2.2,13.1,100.0,107.3,117.9
