Date,Team,basic_MP,basic_FG,basic_FGA,basic_FG%,basic_3P,basic_3PA,basic_3P%,basic_FT,basic_FTA,basic_FT%,basic_ORB,basic_DRB,basic_TRB,basic_AST,basic_STL,basic_BLK,basic_TOV,basic_PF,basic_PTS,advanced_MP,advanced_TS%,advanced_eFG%,advanced_3PAr,advanced_FTr,advanced_ORB%,advanced_DRB%,advanced_TRB%,advanced_AST%,advanced_STL%,advanced_BLK%,advanced_TOV%,advanced_USG%,advanced_ORtg,advanced_DRtg
2024-10-28,Sacramento Kings,240.0,37.0,81.0,0.457,14.0,35.0,0.4,23.0,25.0,0.92,9.0,31.0,40.0,25.0,8.0,6.0,16.0,27.0,111.0,240.0,0.603,0.543,0.432,0.309,20.9,72.1,46.5,67.6,8.2,9.8,14.8,100.0,113.4,100.1
2024-10-28,San Antonio Spurs,240.0,37.0,87.0,0.425,10.0,33.0,0.303,17.0,21.0,0.81,17.0,32.0,49.0,22.0,6.0,6.0,17.0,21.0,101.0,240.0,0.525,0.483,0.379,0.241,36.2,71.1,53.3,59.5,6.5,12.5,15.0,100.0,109.7,115.1
2024-10-28,Toronto Raptors,265.0,49.0,109.0,0.45,10.0,35.0,0.286,17.0,21.0,0.81,18.0,36.0,54.0,30.0,7.0,7.0,15.0,27.0,125.0,265.0,0.529,0.495,0.321,0.193,32.7,70.6,50.9,61.2,6.4,9.2,11.3,100.0,113.7,115.5
2024-10-28,Utah Jazz,240.0,34.0,92.0,0.37,10.0,35.0,0.286,24.0,29.0,0.828,15.0,35.0,50.0,24.0,7.0,5.0,15.0,17.0,102.0,240.0,0.487,0.424,0.38,0.315,28.8,72.9,50.0,70.6,7.0,8.9,12.5,100.0,101.3,109.2
2024-10-28,Washington Wizards,240.0,41.0,91.0,0.451,21.0,44.0,0.477,18.0,22.0,0.818,9.0,34.0,43.0,24.0,7.0,3.0,18.0,25.0,121.0,240.0,0.601,0.566,0.484,0.242,21.4,85.0,52.4,58.5,6.6,7.3,15.2,100.0,114.7,112.8
2024-10-29,Brooklyn Nets,252.5,44.0,93.5,0.46950000000000003,18.0,48.5,0.3705,21.0,25.0,0.8455,9.5,34.5,44.0,30.0,6.5,4.5,10.5,29.0,127.0,252.5,0.6065,0.5655,0.5185,0.267,21.05,81.19999999999999,50.5,67.25,6.5,8.5,9.15,100.0,124.9,120.65
2024-10-29,Dallas Mavericks,240.0,45.0,93.0,0.484,16.0,39.0,0.41,14.0,18.0,0.778,12.0,28.0,40.0,25.0,12.0,2.0,10.0,21.0,120.0,240.0,0.595,0.57,0.419,0.194,27.9,71.8,48.8,55.6,12.5,5.3,9.0,100.0,125.1,118.9
2024-10-29,Denver Nuggets,265.0,46.5,92.5,0.5035000000000001,11.0,23.5,0.4655,31.5,38.5,0.815,12.0,35.5,47.5,30.0,4.5,5.0,10.5,21.0,135.5,265.0,0.619,0.563,0.2555,0.4205,25.15,75.1,50.150000000000006,64.55000000000001,4.2,8.6,8.600000000000001,100.0,126.2,122.9
2024-10-29,Golden State Warriors,240.0,42.0,92.5,0.45299999999999996,17.5,44.5,0.3915,12.5,17.5,0.741,12.5,28.0,40.5,26.5,12.5,7.0,14.5,21.0,114.0,240.0,0.5680000000000001,0.5465,0.4815,0.192,26.549999999999997,71.05000000000001,46.55,61.95,12.600000000000001,12.95,12.45,100.0,114.7,109.4
2024-10-29,Minnesota Timberwolves,240.0,39.0,77.0,0.506,19.0,39.0,0.487,17.0,26.0,0.654,11.0,31.0,42.0,33.0,5.0,2.0,20.0,20.0,114.0,240.0,0.645,0.63,0.506,0.338,28.2,72.1,51.2,84.6,5.2,3.7,18.4,100.0,118.9,125.1
2024-10-29,New Orleans Pelicans,240.0,39.0,81.0,0.48650000000000004,8.5,25.5,0.3425,18.0,24.0,0.75,12.0,29.5,41.5,23.5,6.5,7.0,20.5,17.5,104.5,240.0,0.575,0.5389999999999999,0.3135,0.2985,31.1,64.15,49.849999999999994,60.35,6.7,12.8,18.4,100.0,108.0,128.65
2024-10-29,Sacramento Kings,240.0,48.0,92.0,0.522,8.0,31.0,0.258,9.0,14.0,0.643,9.0,40.0,49.0,26.0,9.0,9.0,12.0,19.0,113.0,240.0,0.576,0.565,0.337,0.152,23.1,76.9,53.8,54.2,9.1,22.0,10.9,100.0,114.7,97.5
2024-10-29,Utah Jazz,240.0,35.0,89.0,0.393,14.0,48.0,0.292,12.0,14.0,0.857,12.0,30.0,42.0,24.0,7.0,4.0,17.0,16.0,96.0,240.0,0.504,0.472,0.539,0.157,23.1,76.9,46.2,68.6,7.1,6.6,15.2,100.0,97.5,114.7
2024-10-30,Atlanta Hawks,240.0,40.5,93.0,0.435,11.0,35.0,0.3155,20.0,25.0,0.808,14.5,30.5,45.0,26.0,8.5,3.5,18.5,21.0,112.0,240.0,0.5385,0.494,0.376,0.27,30.599999999999998,78.65,52.35,64.45,8.15,7.05,15.1,100.0,107.75,125.7
2024-10-30,Boston Celtics,265.0,44.0,109.0,0.404,19.0,57.0,0.333,25.0,31.0,0.806,18.0,33.0,51.0,23.0,11.0,5.0,14.0,19.0,132.0,265.0,0.538,0.491,0.523,0.284,30.5,67.3,47.2,52.3,9.7,7.6,10.2,100.0,115.8,118.5
2024-10-30,Brooklyn Nets,240.0,41.0,80.0,0.513,15.0,41.0,0.366,22.0,25.0,0.88,8.0,26.0,34.0,27.0,10.0,2.0,19.0,25.0,119.0,240.0,0.654,0.606,0.513,0.313,23.5,68.4,47.2,65.9,10.0,3.7,17.3,100.0,119.4,106.4
