Date_SingleModel,Home_SingleModel,Away_SingleModel,ActualWinner_SingleModel,PredictedWinner_SingleModel,ActualSpread_SingleModel,PredictedSpread_SingleModel,SpreadError_SingleModel,Correct_SingleModel,HomePoints_SingleModel,AwayPoints_SingleModel,PredictedHomePoints_SingleModel,PredictedAwayPoints_SingleModel,Date_monthBatchRetrain,Home_monthBatchRetrain,Away_monthBatchRetrain,ActualWinner_monthBatchRetrain,PredictedWinner_monthBatchRetrain,ActualSpread_monthBatchRetrain,PredictedSpread_monthBatchRetrain,SpreadError_monthBatchRetrain,Correct_monthBatchRetrain,HomePoints_monthBatchRetrain,AwayPoints_monthBatchRetrain,PredictedHomePoints_monthBatchRetrain,PredictedAwayPoints_monthBatchRetrain
2024-11-12,Portland Trail Blazers,Minnesota Timberwolves,Portland Trail Blazers,Portland Trail Blazers,14.0,4.7,9.3,True,122.0,108.0,115.8,111.1,2024-11-19,Boston Celtics,Cleveland Cavaliers,Boston Celtics,Cleveland Cavaliers,3.0,5.4,2.4000000000000004,False,120.0,117.0,117.2,122.6
2024-11-12,Golden State Warriors,Dallas Mavericks,Golden State Warriors,Golden State Warriors,3.0,4.1,1.0999999999999996,True,120.0,117.0,120.6,116.5,2024-11-19,Brooklyn Nets,Charlotte Hornets,Brooklyn Nets,Brooklyn Nets,1.0,3.3,2.3,True,116.0,115.0,118.0,114.7
2024-11-12,Utah Jazz,Phoenix Suns,Phoenix Suns,Phoenix Suns,8.0,3.1,4.9,True,112.0,120.0,114.1,117.2,2024-11-19,Memphis Grizzlies,Denver Nuggets,Denver Nuggets,Memphis Grizzlies,12.0,6.3,5.7,False,110.0,122.0,113.7,107.4
2024-11-12,Milwaukee Bucks,Toronto Raptors,Milwaukee Bucks,Milwaukee Bucks,14.0,9.3,4.699999999999999,True,99.0,85.0,104.1,94.8,2024-11-19,Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks,Dallas Mavericks,41.0,14.9,26.1,True,132.0,91.0,115.0,100.2
2024-11-12,Detroit Pistons,Miami Heat,Detroit Pistons,Miami Heat,2.0,1.9,0.10000000000000009,False,123.0,121.0,116.4,118.3,2024-11-19,San Antonio Spurs,Oklahoma City Thunder,San Antonio Spurs,Oklahoma City Thunder,6.0,2.1,3.9,False,110.0,104.0,109.2,111.4
2024-11-12,Orlando Magic,Charlotte Hornets,Orlando Magic,Orlando Magic,25.0,22.4,2.6000000000000014,True,114.0,89.0,112.6,90.2,2024-11-19,Los Angeles Lakers,Utah Jazz,Los Angeles Lakers,Los Angeles Lakers,6.0,6.1,0.09999999999999964,True,124.0,118.0,125.9,119.8
2024-11-12,Boston Celtics,Atlanta Hawks,Atlanta Hawks,Boston Celtics,1.0,0.4,0.6,False,116.0,117.0,119.9,119.5,2024-11-20,Golden State Warriors,Atlanta Hawks,Golden State Warriors,Golden State Warriors,23.0,4.8,18.2,True,120.0,97.0,110.2,105.5
2024-11-12,Philadelphia 76ers,New York Knicks,New York Knicks,New York Knicks,12.0,6.8,5.2,True,99.0,111.0,105.2,112.0,2024-11-20,Los Angeles Clippers,Orlando Magic,Los Angeles Clippers,Los Angeles Clippers,11.0,4.8,6.2,True,104.0,93.0,110.4,105.7
2024-11-13,Milwaukee Bucks,Detroit Pistons,Milwaukee Bucks,Milwaukee Bucks,7.0,8.2,1.1999999999999993,True,127.0,120.0,119.8,111.6,2024-11-20,Phoenix Suns,New York Knicks,New York Knicks,New York Knicks,16.0,6.6,9.4,True,122.0,138.0,111.8,118.4
2024-11-13,Portland Trail Blazers,Minnesota Timberwolves,Portland Trail Blazers,Portland Trail Blazers,8.0,8.3,0.3000000000000007,True,106.0,98.0,108.7,100.3,2024-11-20,Oklahoma City Thunder,Portland Trail Blazers,Oklahoma City Thunder,Oklahoma City Thunder,10.0,6.0,4.0,True,109.0,99.0,106.3,100.3
2024-11-13,Los Angeles Lakers,Memphis Grizzlies,Los Angeles Lakers,Los Angeles Lakers,5.0,1.7,3.3,True,128.0,123.0,122.9,121.2,2024-11-20,Houston Rockets,Indiana Pacers,Houston Rockets,Houston Rockets,17.0,7.9,9.1,True,130.0,113.0,112.4,104.5
2024-11-13,Sacramento Kings,Phoenix Suns,Sacramento Kings,Sacramento Kings,23.0,8.5,14.5,True,127.0,104.0,119.2,110.7,2024-11-20,Milwaukee Bucks,Chicago Bulls,Milwaukee Bucks,Chicago Bulls,16.0,0.3,15.7,False,122.0,106.0,115.2,115.5
2024-11-13,Houston Rockets,Los Angeles Clippers,Houston Rockets,Houston Rockets,8.0,10.0,2.0,True,111.0,103.0,114.4,104.4,2024-11-20,Cleveland Cavaliers,New Orleans Pelicans,Cleveland Cavaliers,Cleveland Cavaliers,28.0,19.7,8.3,True,128.0,100.0,123.5,103.8
2024-11-13,San Antonio Spurs,Washington Wizards,San Antonio Spurs,San Antonio Spurs,9.0,6.6,2.4000000000000004,True,139.0,130.0,128.7,122.0,2024-11-20,Memphis Grizzlies,Philadelphia 76ers,Memphis Grizzlies,Memphis Grizzlies,6.0,8.9,2.9000000000000004,True,117.0,111.0,113.0,104.1
2024-11-13,Oklahoma City Thunder,New Orleans Pelicans,Oklahoma City Thunder,Oklahoma City Thunder,18.0,17.9,0.10000000000000142,True,106.0,88.0,108.8,91.0,2024-11-21,Charlotte Hornets,Detroit Pistons,Charlotte Hornets,Detroit Pistons,2.0,3.2,1.2000000000000002,False,123.0,121.0,109.8,113.0
2024-11-13,New York Knicks,Chicago Bulls,Chicago Bulls,New York Knicks,1.0,0.8,0.19999999999999996,False,123.0,124.0,123.2,122.5,2024-11-21,Toronto Raptors,Minnesota Timberwolves,Toronto Raptors,Toronto Raptors,5.0,0.5,4.5,True,110.0,105.0,113.4,112.9
